unix,price,signal,pnl
2016-07-30 04:09:00,657.8,0,
2016-07-30 04:10:00,657.45,0,
2016-07-30 04:11:00,657.7,0,
2016-07-30 04:12:00,657.63,0,
2016-07-30 04:13:00,657.5,0,
2016-07-30 04:14:00,657.5,0,
2016-07-30 04:15:00,657.41,0,
2016-07-30 04:16:00,657.41,0,
2016-07-30 04:17:00,657.41,0,
2016-07-30 04:18:00,657.41,0,
2016-07-30 04:19:00,657.41,0,
2016-07-30 04:20:00,657.17,0,
2016-07-30 04:21:00,657.35,0,
2016-07-30 04:22:00,657.35,0,
2016-07-30 04:23:00,657.47,0,
2016-07-30 04:24:00,657.47,0,
2016-07-30 04:25:00,657.36,0,
2016-07-30 04:26:00,657.5,0,
2016-07-30 04:27:00,657.5,0,
2016-07-30 04:28:00,657.5,0,
2016-07-30 04:29:00,657.5,0,
2016-07-30 04:30:00,657.5,0,
2016-07-30 04:31:00,657.5,0,
2016-07-30 04:32:00,657.81,0,
2016-07-30 04:33:00,657.89,0,
2016-07-30 04:34:00,657.98,0,
2016-07-30 04:35:00,657.99,0,
2016-07-30 04:36:00,657.99,0,
2016-07-30 04:37:00,657.99,0,
2016-07-30 04:38:00,657.99,0,
2016-07-30 04:39:00,657.99,0,
2016-07-30 04:40:00,657.99,0,
2016-07-30 04:41:00,657.99,0,
2016-07-30 04:42:00,657.32,0,
2016-07-30 04:43:00,658.0,0,
2016-07-30 04:44:00,658.0,0,
2016-07-30 04:45:00,658.0,0,
2016-07-30 04:46:00,658.0,0,
2016-07-30 04:47:00,657.1,0,
2016-07-30 04:48:00,657.1,0,
2016-07-30 04:49:00,657.1,0,
2016-07-30 04:50:00,657.21,0,
2016-07-30 04:51:00,657.21,0,
2016-07-30 04:52:00,657.99,0,
2016-07-30 04:53:00,657.99,0,
2016-07-30 04:54:00,657.99,0,
2016-07-30 04:55:00,657.99,0,
2016-07-30 04:56:00,657.99,0,
2016-07-30 04:57:00,657.99,0,
2016-07-30 04:58:00,657.99,0,
2016-07-30 04:59:00,657.99,0,
2016-07-30 05:00:00,657.87,0,
2016-07-30 05:01:00,657.87,0,
2016-07-30 05:02:00,657.9,0,
2016-07-30 05:03:00,657.55,0,
2016-07-30 05:04:00,657.9,0,
2016-07-30 05:05:00,657.83,0,
2016-07-30 05:06:00,657.83,0,
2016-07-30 05:07:00,657.9,0,
2016-07-30 05:08:00,657.85,0,
2016-07-30 05:09:00,657.9,0,
2016-07-30 05:10:00,657.06,0,
2016-07-30 05:11:00,657.12,0,
2016-07-30 05:12:00,657.12,0,
2016-07-30 05:13:00,657.9,0,
2016-07-30 05:14:00,657.9,0,
2016-07-30 05:15:00,657.9,0,
2016-07-30 05:16:00,657.9,0,
2016-07-30 05:17:00,657.9,0,
2016-07-30 05:18:00,657.9,0,
2016-07-30 05:19:00,657.9,0,
